"x","y","sst","chlo"
-7.5,77.5,0.344436566375317,0.224947895971644
-2.5,77.5,1.07868481385248,0.345587342075521
2.5,77.5,1.90243491118097,0.415840303928902
7.5,77.5,3.01735583533462,0.38056902284527
12.5,77.5,2.35567575753173,0.283498738218375
17.5,77.5,1.14535645588077,0.27277930157673
22.5,77.5,0.751091186915507,0.350016741140021
27.5,77.5,0.852292110579416,0.364196420087031
32.5,77.5,1.18029094584066,0.43898340916606
37.5,77.5,0.862322665910771,0.388827974989803
42.5,77.5,0.772121047556564,0.35466015695508
47.5,77.5,0.831105768460375,0.348195708649819
52.5,77.5,0.800936556171747,0.330617682151841
57.5,77.5,0.705328109234688,0.298557388882877
62.5,77.5,0.474531818097091,0.321751090822465
67.5,77.5,0.498110868495984,0.40176484394922
72.5,77.5,0.697035516827449,0.545733911249511
77.5,77.5,0.556188644975622,0.453316548740215
82.5,77.5,0.434612606026392,0.44685279877132
87.5,77.5,0.373577653686926,0.515270065825122
92.5,77.5,0.24498390656122,0.405002726294031
97.5,77.5,0.223820828330548,0.387239607106204
102.5,77.5,0.0984572894659747,0.203446078800286
107.5,77.5,0.115228238165189,0.233310298227395
112.5,77.5,0.16648587590838,0.260730123203248
117.5,77.5,0.251305549938439,0.343443590529539
122.5,77.5,0.288724530583541,0.368677492242444
127.5,77.5,0.345946751526747,0.453382510458878
132.5,77.5,0.408880314934887,0.525279035372315
137.5,77.5,0.35596862630274,0.544191591858484
142.5,77.5,0.332171288871689,0.505195899041784
147.5,77.5,0.284825572337356,0.43522023317749
152.5,77.5,0.220706708029784,0.350268931226046
157.5,77.5,0.185167356972298,0.17624639925202
162.5,77.5,0.23120670779509,0.0842066978559726
167.5,77.5,0.196008213211468,0.0650711184046749
172.5,77.5,0.330811335198383,0.0483030370774644
177.5,77.5,0.312208442095671,0.0292383698139478
-177.5,72.5,0.552924061715258,0.182382960164299
-172.5,72.5,1.01603643562315,0.159046948725634
-167.5,72.5,1.00146722298583,0.230906980039069
-162.5,72.5,0.853162249448856,0.294889035128333
-157.5,72.5,0.456809712011729,0.205901188655515
-152.5,72.5,0.452612489883322,0.256013426748277
-147.5,72.5,0.513478460745084,0.223375545283607
-142.5,72.5,0.475549757889153,0.235234961070258
-137.5,72.5,0.499965498084159,0.312525549802619
-132.5,72.5,0.592975681190405,0.291282766590723
-127.5,72.5,0.67037567946038,0.262984744708433
-122.5,72.5,0.400989921592732,0.0947471362985326
-117.5,72.5,0.365073487210342,0.0912413005744693
-112.5,72.5,0.149914811463958,0.0435227258710398
-107.5,72.5,0.0433731471786827,0.0402531989770769
-102.5,72.5,0.0514979155155985,0.0674090649166869
-97.5,72.5,0.127699649923468,0.087579633826045
-92.5,72.5,0.109176270707868,0.0925299420573369
-87.5,72.5,0.103782752309904,0.109961561054267
-82.5,72.5,0.107593747595092,0.0827935386490491
-77.5,72.5,0.217036337741452,0.116262764390213
-72.5,72.5,0.438044434653388,0.150286921259292
-67.5,72.5,0.673151258102045,0.160337717562776
-62.5,72.5,0.863488522366194,0.158889849204053
-57.5,72.5,0.933357270804505,0.268289500756914
-52.5,72.5,0.181852310750099,0.0988732255253665
-47.5,72.5,NA,NA
-42.5,72.5,NA,NA
-37.5,72.5,NA,NA
-32.5,72.5,NA,NA
-27.5,72.5,0.0646468735550297,0.0420172034224702
-22.5,72.5,0.30518610428967,0.12467440650419
-17.5,72.5,0.601464917111767,0.306853886770895
-12.5,72.5,1.1861160614512,0.511895179330302
-7.5,72.5,1.63667554212115,0.48409232000096
-2.5,72.5,2.58216533580262,0.368526674952289
2.5,72.5,3.64882572862757,0.336718412468003
7.5,72.5,4.64557674801512,0.320116688129147
12.5,72.5,5.32589883929021,0.351227132147351
17.5,72.5,5.37091666235806,0.432444997251862
